                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71759,                0.52436,                0.92303,                0.95565,                0.96038,                0.99049,                0.85075,                0.56719,                0.43229,                0.87023,             0.00057925,             0.00057925,             0.00057925
                     36,                 0.7115,                0.51946,                0.92194,                0.95496,                0.95545,                0.98767,                0.85723,                0.54241,                0.42767,                0.86692,             0.00056687,             0.00056687,             0.00056687
                     37,                 0.7117,                0.51979,                0.92071,                0.96332,                0.95318,                 0.9898,                0.85724,                0.54705,                0.42534,                0.86662,              0.0005545,              0.0005545,              0.0005545
                     38,                0.71211,                0.51938,                0.92021,                0.95106,                0.95685,                0.98795,                0.85529,                 0.5493,                0.42918,                 0.8685,             0.00054212,             0.00054212,             0.00054212
                     39,                0.71028,                0.52035,                0.92138,                0.95987,                0.95782,                0.98925,                0.84503,                0.56491,                0.42623,                0.87154,             0.00052975,             0.00052975,             0.00052975
                     40,                0.70766,                0.51357,                0.91871,                  0.951,                0.96302,                0.98829,                0.85843,                0.55028,                0.42325,                0.86617,             0.00051737,             0.00051737,             0.00051737
                     41,                0.70351,                 0.5148,                0.91917,                0.96243,                0.95398,                0.98635,                0.85392,                 0.5448,                0.42298,                0.86455,               0.000505,               0.000505,               0.000505
                     42,                0.70753,                0.51392,                0.91794,                0.96275,                0.95889,                0.98877,                0.85613,                0.55559,                0.42194,                0.86726,             0.00049263,             0.00049263,             0.00049263
                     43,                0.70885,                0.51717,                0.91979,                 0.9626,                0.95152,                0.98931,                0.85562,                0.55288,                0.42805,                0.86706,             0.00048025,             0.00048025,             0.00048025
                     44,                 0.7088,                  0.514,                0.91978,                0.96009,                0.96398,                0.99026,                0.85224,                0.54571,                 0.4231,                  0.866,             0.00046788,             0.00046788,             0.00046788
                     45,                  0.704,                 0.5135,                0.91977,                0.95802,                0.96535,                0.98921,                0.85526,                0.54757,                0.41391,                0.86717,              0.0004555,              0.0004555,              0.0004555
                     46,                0.70438,                0.51199,                0.91636,                0.95419,                0.96482,                0.98901,                0.85798,                0.54562,                0.41751,                 0.8666,             0.00044312,             0.00044312,             0.00044312
                     47,                0.70288,                 0.5101,                0.91638,                0.95879,                0.96315,                0.98929,                0.85429,                0.54999,                0.41354,                 0.8679,             0.00043075,             0.00043075,             0.00043075
                     48,                0.70211,                0.50915,                0.91686,                0.95783,                0.96109,                0.98976,                0.85555,                 0.5489,                0.42127,                0.86703,             0.00041838,             0.00041838,             0.00041838
                     49,                0.69883,                 0.5057,                0.91678,                 0.9578,                0.96239,                0.98927,                0.85808,                 0.5448,                0.41901,                0.86513,               0.000406,               0.000406,               0.000406
                     50,                0.70105,                0.50764,                0.91623,                0.96806,                0.96172,                 0.9899,                0.86141,                0.53763,                0.40746,                0.86315,             0.00039362,             0.00039362,             0.00039362
                     51,                0.70068,                0.50764,                0.91676,                0.96255,                0.95242,                0.98812,                 0.8561,                0.54056,                0.41684,                0.86425,             0.00038125,             0.00038125,             0.00038125
                     52,                0.69964,                0.50834,                0.91489,                0.95938,                0.95538,                 0.9882,                 0.8589,                0.54103,                0.41466,                0.86478,             0.00036888,             0.00036888,             0.00036888
                     53,                0.70032,                0.50688,                0.91631,                0.95995,                0.95874,                0.98969,                0.86182,                0.53661,                0.41224,                0.86263,              0.0003565,              0.0003565,              0.0003565
                     54,                0.69343,                0.50146,                 0.9148,                0.95658,                0.95966,                0.98906,                0.86052,                0.54715,                0.41587,                0.86414,             0.00034413,             0.00034413,             0.00034413
                     55,                0.69508,                0.50478,                0.91472,                 0.9646,                0.95901,                0.98994,                 0.8614,                0.53682,                0.41142,                0.86256,             0.00033175,             0.00033175,             0.00033175
                     56,                0.69401,                0.50373,                0.91608,                 0.9624,                0.96117,                0.98995,                0.86089,                0.53729,                0.40757,                0.86292,             0.00031938,             0.00031938,             0.00031938
                     57,                0.69343,                0.50189,                0.91332,                0.95973,                0.96304,                0.99051,                0.85701,                 0.5425,                0.41418,                0.86387,               0.000307,               0.000307,               0.000307
                     58,                0.69404,                0.50218,                0.91585,                0.96193,                0.96115,                0.99003,                0.86002,                0.54213,                0.41658,                 0.8634,             0.00029462,             0.00029462,             0.00029462
